Frequency (Hz),Level (dB)
10895.80078,-68.997047
10938.86719,-63.696022
10981.93359,-64.515648
11025,-70.237129
11068.06641,-72.615036
11111.13281,-71.322258
11154.19922,-66.077682
11197.26563,-64.059845
11240.33203,-68.612221
11283.39844,-72.680984
11326.46484,-72.968575
11369.53125,-69.436684
11412.59766,-65.203682
11455.66406,-67.339638
11498.73047,-72.576271
11541.79688,-73.886436
11584.86328,-72.415398
11627.92969,-67.844376
11670.99609,-67.055191
11714.0625,-71.778618
11757.12891,-74.109756
11800.19531,-74.392632
11843.26172,-70.983879
11886.32813,-67.6008
11929.39453,-70.325264
11972.46094,-73.983536
12015.52734,-75.15155
12058.59375,-73.788246
12101.66016,-69.171387
12144.72656,-69.22641
12187.79297,-73.530006
12230.85938,-75.39505
12273.92578,-75.386467
12316.99219,-71.480164
12360.05859,-69.075256
12403.125,-72.639702
12446.19141,-75.448677
12489.25781,-76.355888
12532.32422,-73.844826
12575.39063,-69.740799
12618.45703,-71.400848
12661.52344,-75.32605
12704.58984,-76.794266
12747.65625,-75.616966
12790.72266,-71.108841
12833.78906,-70.490143
12876.85547,-74.677246
12919.92188,-76.477219
12962.98828,-76.665955
13006.05469,-72.761459
13049.12109,-69.996361
13092.1875,-72.802483
13135.25391,-75.821945
13178.32031,-76.745293
13221.38672,-74.316948
13264.45313,-70.19194
13307.51953,-70.795219
13350.58594,-74.623283
13393.65234,-76.478333
13436.71875,-75.290001
13479.78516,-71.14048
13522.85156,-69.452591
13565.91797,-72.704453
13608.98438,-75.643921
13652.05078,-75.850136
13695.11719,-72.71521
13738.18359,-69.33815
13781.25,-70.75853
13824.31641,-74.522079
13867.38281,-76.129181
13910.44922,-74.217232
13953.51563,-70.465668
13996.58203,-69.724144
14039.64844,-73.15683
14082.71484,-75.900566
14125.78125,-75.430405
14168.84766,-72.278404
14211.91406,-69.824654
14254.98047,-71.801849
14298.04688,-75.132278
14341.11328,-76.279343
14384.17969,-74.278481
14427.24609,-70.961449
14470.3125,-70.968903
14513.37891,-74.269066
14556.44531,-76.282562
14599.51172,-75.79509
14642.57813,-72.847908
14685.64453,-70.986572
14728.71094,-73.142975
14771.77734,-75.888412
14814.84375,-76.626114
14857.91016,-74.872032
14900.97656,-71.90976
14944.04297,-72.166405
14987.10938,-75.099243
15030.17578,-76.698677
15073.24219,-76.131844
15116.30859,-73.454926
15159.375,-71.871765
15202.44141,-74.316467
15245.50781,-76.531807
15288.57422,-76.752556
15331.64063,-75.173164
15374.70703,-72.433983
15417.77344,-73.410324
15460.83984,-76.290764
15503.90625,-77.183304
15546.97266,-76.443123
15590.03906,-73.857109
15633.10547,-72.927361
15676.17188,-75.810959
15719.23828,-77.369286
15762.30469,-77.175476
15805.37109,-75.40081
15848.4375,-73.030441
15891.50391,-74.967415
15934.57031,-77.309052
15977.63672,-77.846016
16020.70313,-76.630829
16063.76953,-73.845856
16106.83594,-74.144806
16149.90234,-76.997459
16192.96875,-78.155701
16236.03516,-77.593239
16279.10156,-75.029541
16322.16797,-73.713905
16365.23438,-76.314453
16408.30078,-77.989227
16451.36719,-78.183678
16494.43359,-76.234772
16537.5,-73.778229
16580.56641,-75.288063
16623.63281,-77.586304
16666.69922,-78.52916
16709.76563,-77.197609
16752.83203,-74.567772
16795.89844,-74.429329
16838.96484,-77.056786
16882.03125,-78.379547
16925.09766,-77.894997
16968.16406,-75.575584
17011.23047,-74.01754
17054.29688,-76.081467
17097.36328,-77.838661
17140.42969,-78.402649
17183.49609,-76.667847
17226.5625,-74.44017
17269.62891,-75.042213
17312.69531,-77.156708
17355.76172,-78.353218
17398.82813,-77.612137
17441.89453,-75.323662
17484.96094,-74.5485
17528.02734,-76.4431
17571.09375,-77.910721
17614.16016,-78.352173
17657.22656,-76.306824
17700.29297,-74.795067
17743.35938,-75.58744
17786.42578,-77.319351
17829.49219,-78.544319
17872.55859,-77.5177
17915.625,-75.526405
17958.69141,-75.259003
18001.75781,-76.811317
18044.82422,-78.134499
18087.89063,-78.34745
18130.95703,-76.459076
18174.02344,-75.430794
18217.08984,-76.249481
18260.15625,-77.745819
18303.22266,-78.619186
18346.28906,-77.5093
18389.35547,-76.321808
18432.42188,-76.085732
18475.48828,-77.537262
18518.55469,-78.564148
18561.62109,-78.246765
18604.6875,-77.211403
18647.75391,-76.399689
18690.82031,-77.297852
18733.88672,-78.470932
18776.95313,-78.673706
18820.01953,-78.037651
18863.08594,-77.016548
18906.15234,-77.060822
18949.21875,-78.416328
18992.28516,-78.956268
19035.35156,-78.767288
19078.41797,-77.723862
19121.48438,-76.847801
19164.55078,-78.032143
19207.61719,-78.919739
19250.68359,-79.212448
19293.75,-78.609741
19336.81641,-77.046425
19379.88281,-77.65844
19422.94922,-78.731873
19466.01563,-79.331665
19509.08203,-79.083542
19552.14844,-77.510712
19595.21484,-77.233742
19638.28125,-78.597481
19681.34766,-79.21875
19724.41406,-79.267418
19767.48047,-78.203979
19810.54688,-76.928032
19853.61328,-78.228661
19896.67969,-78.980453
19939.74609,-79.373161
19982.8125,-78.726601
20025.87891,-77.112312
20068.94531,-77.541504
20112.01172,-78.819748
20155.07813,-79.385231
20198.14453,-78.911499
20241.21094,-77.589073
20284.27734,-76.928864
20327.34375,-78.401497
20370.41016,-79.157135
20413.47656,-79.228821
20456.54297,-78.187691
20499.60938,-76.953651
20542.67578,-77.828445
20585.74219,-79.098206
20628.80859,-79.677322
20671.875,-78.977806
20714.94141,-77.903572
20758.00781,-77.975548
20801.07422,-79.661087
20844.14063,-80.928612
20887.20703,-81.348007
20930.27344,-80.745598
20973.33984,-80.840874
21016.40625,-82.692024
21059.47266,-84.84301
21102.53906,-86.747215
21145.60547,-87.345108
21188.67188,-88.220619
21231.73828,-90.255905
21274.80469,-93.688515
21317.87109,-96.82428
21360.9375,-99.701805
21404.00391,-101.865959
21447.07031,-104.970146
21490.13672,-109.225937
21533.20313,-114.165939
21576.26953,-119.20607
21619.33594,-123.95343
21662.40234,-128.829681
21705.46875,-134.890366
21748.53516,-142.32486
21791.60156,-149.238495
21834.66797,-154.041214
21877.73438,-161.943069
21920.80078,-164.357651
21963.86719,-165.268463
22006.93359,-165.196899
